mDPSO,J48,SMO,RBF
0.3999439775910364,0.0,0.0,0.0
0.4506827731092437,0.0,0.0,0.0
0.5653956582633053,0.0,0.0,0.0
0.5114635854341737,0.0,0.0,0.0
0.49423319327731097,0.0,0.0,0.0
0.424796918767507,0.0,0.0,0.09880952380952382
0.5411204481792717,0.0,0.0,0.0
0.6016841736694678,0.0,0.0,0.0
0.46382352941176475,0.0,0.0,0.0
0.5687640056022409,0.0,0.0,0.0
0.6078781512605043,0.0,0.0,0.0
0.397797619047619,0.0,0.0,0.0
0.5970133053221289,0.0,0.0,0.0
0.5366701680672269,0.0,0.0,0.0
0.6142892156862745,0.0,0.0,0.0
0.5409978991596638,0.0,0.0,0.0
0.48953081232493,0.0,0.0,0.0
0.4755812324929972,0.0,0.0,0.0
0.49013305322128853,0.0,0.0,0.0
0.586656162464986,0.0,0.0,0.0
0.48690476190476195,0.0,0.0,0.0
0.49265406162464986,0.0,0.0,0.09761904761904762
0.5197584033613445,0.0,0.0,0.0
0.5418312324929973,0.0,0.0,0.0
0.6051190476190476,0.0,0.0,0.05
0.4118137254901961,0.0,0.0,0.0
0.47036414565826334,0.0,0.0,0.0
0.5935854341736695,0.0,0.0,0.0
0.44728291316526614,0.0,0.0,0.0
0.5084243697478992,0.0,0.0,0.0
0.49316876750700284,0.0,0.0,0.0
0.5289880952380952,0.0,0.0,0.0
0.48286764705882357,0.0,0.0,0.0
0.5264565826330533,0.0,0.0,0.0
0.5874299719887957,0.0,0.0,0.0
0.49029411764705877,0.0,0.0,0.0
0.42721288515406164,0.0,0.0,0.0
0.5417787114845938,0.0,0.0,0.0
0.5732142857142857,0.0,0.0,0.0
0.48331932773109243,0.0,0.0,0.0
0.4589320728291317,0.0,0.0,0.0
0.4358298319327731,0.0,0.0,0.0
0.5267436974789916,0.0,0.0,0.0
0.5392822128851541,0.0,0.0,0.0
0.6042436974789916,0.0,0.0,0.0
0.5652345938375352,0.0,0.0,0.0
0.5716526610644257,0.0,0.0,0.0
0.5642051820728291,0.0,0.0,0.0
0.5305252100840336,0.0,0.0,0.0
0.49116246498599436,0.0,0.0,0.0
